r,a,b,c,d,e,f,g,h,i,j
0.8,0.167466,0.434178,0.303995,0.527559,0.527256,0.679262,,,,
0.84,0.186647,0.449099,0.335224,0.54994,0.549645,0.695553,,,,
0.88,0.204698,0.462675,0.364881,0.570516,0.571207,0.709986,,,,
0.92,0.222138,0.474801,0.392295,0.590183,0.590128,0.723807,,,,
0.96,0.239161,0.487219,0.417869,0.607994,0.60789,0.735993,,,,
1.0,0.254862,0.498242,0.441653,0.624196,0.624546,0.747122,,,,
1.04,0.270365,0.508578,0.464299,0.639295,0.640092,0.757513,,,,
1.08,0.283864,0.518352,0.484835,0.653941,0.65336,0.766912,,,,
1.12,0.297899,0.527398,0.504218,0.667088,0.667155,0.776067,,,,
1.16,0.311087,0.536375,0.522704,0.679177,0.679158,0.784136,,,,
1.2,0.323702,0.544991,0.539944,0.690794,0.690807,0.791875,,,,
1.24,0.335571,0.5525,0.555756,0.701687,0.701542,0.799202,,,,
1.28,0.346918,0.56042,0.571054,0.711404,0.711505,0.806001,,,,
1.32,0.357874,0.566772,0.585221,0.720897,0.720811,0.81249,,,,
1.36,0.368531,0.574579,0.599006,0.729927,0.730037,0.817958,,,,
1.4,0.378351,0.581219,0.611513,0.73837,0.738186,0.823905,,,,
